autores,ocorrencias,origem,nome_normalizado,possivel_duplicata
"Fonseca, Fßbio J. B.",1,geoinfo,fonseca fßbio j b,False
"Ramos, Ricardo S.",1,geoinfo,ramos ricardo s,False
"Almeida, Diego Benincasa F. C.",1,geoinfo,almeida diego benincasa f c,False
"Fonseca, Fred",1,geoinfo,fonseca fred,False
"Furtado, Caio Alves",1,geoinfo,furtado caio alves,False
"Andrade, Thamara Karen",1,geoinfo,andrade thamara karen,False
"Moura, Ciro D. G.",1,geoinfo,moura ciro d g,False
"Freitas, Nicksson C. A.",1,geoinfo,freitas nicksson c a,False
"Nabo, Ricardo Gil Belther",1,geoinfo,nabo ricardo gil belther,False
"Nanni, Mirco",1,geoinfo,nanni mirco,False
"Baptista, Clßudio de Souza",1,geoinfo,baptista clßudio de souza,False
"Campelo, Clßudio E. C.",1,geoinfo,campelo clßudio e c,False
"Acioli Filho, José Amilton Moura",1,geoinfo,acioli filho jose amilton moura,False
"Falcńo, Ana Gabrielle Ramos",1,geoinfo,falcno ana gabrielle ramos,False
"Oliveira, Diogo Rennó R.",1,geoinfo,oliveira diogo renno r,False
"S Filho, José F. de",1,geoinfo,s filho jose f de,False
"Carvalho, Sérgio T. de",1,geoinfo,carvalho sergio t de,False
"Silva, Felipe Pinto da",1,geoinfo,silva felipe pinto da,False
"Silva, Alexsandro C. de O.",1,geoinfo,silva alexsandro c de o,False
"Mello, Márcio P.",1,geoinfo,mello marcio p,False
"Soares, Henrique Ferreira",1,geoinfo,soares henrique ferreira,False
"Vani, Bruno César",1,geoinfo,vani bruno cesar,False
"Ivánová, Ivana",1,geoinfo,ivanova ivana,False
"Monico, João Francisco Galea",1,geoinfo,monico joao francisco galea,False
"Aquino, Artur Ribeiro de",1,geoinfo,aquino artur ribeiro de,False
"Menezes, Luciana Cavalcante de",1,geoinfo,menezes luciana cavalcante de,False
"Falcão, Ana Gabrielle Ramos",1,geoinfo,falcao ana gabrielle ramos,False
"Marinho, Leandro Balby",1,geoinfo,marinho leandro balby,False
"Carmo, Alisson Fernando Coelho do",1,geoinfo,carmo alisson fernando coelho do,False
"Alcōntara, Enner Herenio de",1,geoinfo,alcontara enner herenio de,False
"Costa, George Henrique Rangel",1,geoinfo,costa george henrique rangel,False
"Baldo, Fabiano",1,geoinfo,baldo fabiano,False
"Vellozo, Hugo de Souza",1,geoinfo,vellozo hugo de souza,False
"Diniz, Luiz Gustavo",1,geoinfo,diniz luiz gustavo,False
"Buurman, Merret",1,geoinfo,buurman merret,False
"Pebesma, Edzer",1,geoinfo,pebesma edzer,False
"Magalhaes, Salles V. G.",1,geoinfo,magalhaes salles v g,False
"Franklin, W. R.",1,geoinfo,franklin w r,False
"Fontes, Vitor Cunha",1,geoinfo,fontes vitor cunha,False
"Alencar, Lucas Andre de",1,geoinfo,alencar lucas andre de,False
"Freitas, Henrique R. A.",1,geoinfo,freitas henrique r a,False
"Oliveira, João R. F.",1,geoinfo,oliveira joao r f,False
"Gimenez, Paulo J. A.",1,geoinfo,gimenez paulo j a,False
"Tanaka, Astério K.",1,geoinfo,tanaka asterio k,False
"Baião, Fernanda",1,geoinfo,baiao fernanda,False
"Medeiros, Liliam C. C.",1,geoinfo,medeiros liliam c c,False
"Silva, Leandro G.",1,geoinfo,silva leandro g,False
"Reis, Isabel C. dos",1,geoinfo,reis isabel c dos,False
"Coelho, Flávio Codeço",1,geoinfo,coelho flavio codeco,False
"Moura, Tiago Henrique V. M. de",1,geoinfo,moura tiago henrique v m de,False
"Davir Junior, Clodoveu A",1,geoinfo,davir junior clodoveu a,False
"Silva, Jefferson A. da",1,geoinfo,silva jefferson a da,False
"Fook, Karla D",1,geoinfo,fook karla d,False
"Oliveira, João Celso Santos de",1,geoinfo,oliveira joao celso santos de,False
"Vidal Filho, Jarbas N.",1,geoinfo,vidal filho jarbas n,False
"Veloso, Bráulio",1,geoinfo,veloso braulio,False
"Iabrudi, Andréa",1,geoinfo,iabrudi andrea,False
"Albuquerque, Fábio da Costa",1,geoinfo,albuquerque fabio da costa,False
"Amorim, Ana Maria",1,geoinfo,amorim ana maria,False
"Prates, Marcos Oliveira",1,geoinfo,prates marcos oliveira,False
"Santos, Marcos Antônio da Cunha",1,geoinfo,santos marcos antonio da cunha,False
"Degbelo, Auriol",1,geoinfo,degbelo auriol,False
"Figueiredo, Rafael",1,geoinfo,figueiredo rafael,False
"Pitta, Daniela",1,geoinfo,pitta daniela,False
"Freitas, Sérgio",1,geoinfo,freitas sergio,False
"Afonso, Ana Paula",1,geoinfo,afonso ana paula,False
"Freitas, Anderson L. S.",1,geoinfo,freitas anderson l s,False
"Filgueiras, Thompson M",1,geoinfo,filgueiras thompson m,False
"Gomes, Thiago L.",1,geoinfo,gomes thiago l,False
Magalhã,1,geoinfo,magalha,False
"Es, Salles V. G.",1,geoinfo,es salles v g,False
"Malaverri, Joana E. Gonzales",1,geoinfo,malaverri joana e gonzales,False
"Martins, Douglas",1,geoinfo,martins douglas,False
"Fonseca, Frederico T",1,geoinfo,fonseca frederico t,False
"Moura, Tiago Henrique V. M.",1,geoinfo,moura tiago henrique v m,False
"Rodrigues, Antonio Jose C",1,geoinfo,rodrigues antonio jose c,False
"Rodrigues, Alaor Bianco",1,geoinfo,rodrigues alaor bianco,False
"dos Santos, Walter Abrahão",1,geoinfo,dos santos walter abrahao,False
"Santanna, Sidnei J. Siqueira",1,geoinfo,santanna sidnei j siqueira,False
"Santanche, Andre",1,geoinfo,santanche andre,False
"Jomier, Genevieve",1,geoinfo,jomier genevieve,False
"Zam, Michel",1,geoinfo,zam michel,False
"Xavier, Simone I. R.",1,geoinfo,xavier simone i r,False
"Antunes, Leo",1,geoinfo,antunes leo,False
"Lima Junior, Odilon F. de",1,geoinfo,lima junior odilon f de,False
"Silva, Tiago Eduardo da",1,geoinfo,silva tiago eduardo da,False
"Pires, Carlos Eduardo Santos",1,geoinfo,pires carlos eduardo santos,False
"Carboni, Eduardo M.",1,geoinfo,carboni eduardo m,False
"Carneiro, Eduilson Lívio N. da C.",1,geoinfo,carneiro eduilson livio n da c,False
"Ladeira, Rodolfo",1,geoinfo,ladeira rodolfo,False
"Magalhães, Salles",1,geoinfo,magalhaes salles,False
"Andrade, Marcus",1,geoinfo,andrade marcus,False
"Gruppi, Mauricio",1,geoinfo,gruppi mauricio,False
"Lima, Danubia",1,geoinfo,lima danubia,False
"Mendonça, Antonio",1,geoinfo,mendonca antonio,False
"Mota, Matheus Silva",1,geoinfo,mota matheus silva,False
"Longo, João Sßvio Ceregatti",1,geoinfo,longo joao sßvio ceregatti,False
"Cugler, Daniel Cintra",1,geoinfo,cugler daniel cintra,False
"Nascimento, Samara Martins do",1,geoinfo,nascimento samara martins do,False
"Tsuruda, Renata Miwa",1,geoinfo,tsuruda renata miwa,False
"Camargo, Eduardo Gerbi",1,geoinfo,camargo eduardo gerbi,False
"Medeiros, Líliam César de Castro",1,geoinfo,medeiros liliam cesar de castro,False
"Siqueira, Fernando de Lucca",1,geoinfo,siqueira fernando de lucca,False
"Vegi, Lucas F. M.",1,geoinfo,vegi lucas f m,False
"F., Jugurta Lisboa",1,geoinfo,f jugurta lisboa,False
"Lamas, João P. C.",1,geoinfo,lamas joao p c,False
"Costa, Glauber L. S.",1,geoinfo,costa glauber l s,False
"Oliveira, Wellington M",1,geoinfo,oliveira wellington m,False
"Assis, Talita Oliveira",1,geoinfo,assis talita oliveira,False
"Baranauskas, Maria Cecília Calani",1,geoinfo,baranauskas maria cecilia calani,False
"Miranda, Evaristo Eduardo de",1,geoinfo,miranda evaristo eduardo de,False
"Deggau, Renato",1,geoinfo,deggau renato,False
"Pereira, Danilo",1,geoinfo,pereira danilo,False
"Merino, Eugęnio",1,geoinfo,merino eugenio,False
"Foerster, Theodor",1,geoinfo,foerster theodor,False
"Fechner, Thore",1,geoinfo,fechner thore,False
"Fritze, Holger",1,geoinfo,fritze holger,False
"Loock, Frederik",1,geoinfo,loock frederik,False
"Remke, Alber",1,geoinfo,remke alber,False
"Gil, Fabiana B.",1,geoinfo,gil fabiana b,False
"Torres, Ricardo da S",1,geoinfo,torres ricardo da s,False
"Hon¾rio, Nildimar A.",1,geoinfo,hon34rio nildimar a,False
"Codeńo, Claudia T",1,geoinfo,codeno claudia t,False
"Loy, Alisson Moscato",1,geoinfo,loy alisson moscato,False
"Machado, Ivre Marjorie R.",1,geoinfo,machado ivre marjorie r,False
"Alencar, Rafael Odon de",1,geoinfo,alencar rafael odon de,False
"Campos Junior, Roberto de Oliveira",1,geoinfo,campos junior roberto de oliveira,False
"Ferreira, Chaulio",1,geoinfo,ferreira chaulio,False
"Carvalho, Marcelo T. M. de",1,geoinfo,carvalho marcelo t m de,False
"Moreno, Bruno N.",1,geoinfo,moreno bruno n,False
"Nalon, Filipe Ribeiro",1,geoinfo,nalon filipe ribeiro,False
"Braga, José Luís",1,geoinfo,braga jose luis,False
"Pena, Carolina S.",1,geoinfo,pena carolina s,False
"Gomes, André de Souza",1,geoinfo,gomes andre de souza,False
"Pettinati, Mario R.",1,geoinfo,pettinati mario r,False
"Oliveira, João Ricardo de Freitas",1,geoinfo,oliveira joao ricardo de freitas,False
"Silva, Hideson A.",1,geoinfo,silva hideson a,False
"Oliveira, Luiz E. S.",1,geoinfo,oliveira luiz e s,False
"Britto-jr, Alceu S",1,geoinfo,brittojr alceu s,False
"Sousa, J. R.",1,geoinfo,sousa j r,False
"Lisboa-filho, J.",1,geoinfo,lisboafilho j,False
"Gomes, T. L",1,geoinfo,gomes t l,False
"Vieira Filho, Sergio Izack",1,geoinfo,vieira filho sergio izack,False
"Guembarovski, Ricardo Haus",1,geoinfo,guembarovski ricardo haus,False
"Weitzel, Leila",1,geoinfo,weitzel leila,False
"Almeida, Rodolfo M.",1,geoinfo,almeida rodolfo m,False
"Macau, Elbert E. N.",1,geoinfo,macau elbert e n,False
"França, Helena",1,geoinfo,franca helena,False
"Ramos, Fernando M.",1,geoinfo,ramos fernando m,False
"Aragão, Helder",1,geoinfo,aragao helder,False
"Bonat, Wagner Hugo",1,geoinfo,bonat wagner hugo,False
"Dallazuana, Henrique Silva",1,geoinfo,dallazuana henrique silva,False
"Borba, Rogério Luís Ribeiro",1,geoinfo,borba rogerio luis ribeiro,False
"Mota, Guilherme L. A.",1,geoinfo,mota guilherme l a,False
"Brito, Jorge Luís Nunes E Silva",1,geoinfo,brito jorge luis nunes e silva,False
"Carneiro, Tiago Garcia de Sena",1,geoinfo,carneiro tiago garcia de sena,False
"Reyes, Joshua",1,geoinfo,reyes joshua,False
"Zesk, Walter E",1,geoinfo,zesk walter e,False
"Gouvęa, Cleber",1,geoinfo,gouvea cleber,False
"Loh, Stanley",1,geoinfo,loh stanley,False
"Garcia, Luís Fernando Fortes",1,geoinfo,garcia luis fernando fortes,False
"Fonseca, Evandro Brasil da",1,geoinfo,fonseca evandro brasil da,False
"Wendt, Igor",1,geoinfo,wendt igor,False
"Faria, Sérgio D",1,geoinfo,faria sergio d,False
"Moreira, Evaldinolia",1,geoinfo,moreira evaldinolia,False
"Cāmara, Gilbeto",1,geoinfo,camara gilbeto,False
"Novaes, Maikon R. de",1,geoinfo,novaes maikon r de,False
"Rudorff, Bernardo T. F.",1,geoinfo,rudorff bernardo t f,False
"Crepani, Edison",1,geoinfo,crepani edison,False
"Sugawara, Luciana Miura",1,geoinfo,sugawara luciana miura,False
"Oliveira, Pedro A.",1,geoinfo,oliveira pedro a,False
"Oliveira, Pedro Felipe A",1,geoinfo,oliveira pedro felipe a,False
"Pimenta, Paulo",1,geoinfo,pimenta paulo,False
"Coelho, Andrea",1,geoinfo,coelho andrea,False
"Araújo, Roberto",1,geoinfo,araujo roberto,False
"Ribeiro, Adagenor",1,geoinfo,ribeiro adagenor,False
"Ramos, José Augusto S.",1,geoinfo,ramos jose augusto s,False
"Clua, Esteban Walter G",1,geoinfo,clua esteban walter g,False
"Silva, João Carlos Tavares da",1,geoinfo,silva joao carlos tavares da,False
"Volz, Steffen",1,geoinfo,volz steffen,False
"Wieland, Matthias",1,geoinfo,wieland matthias,False
"Güting, Ralf Hartmut",1,geoinfo,guting ralf hartmut,False
"Backes, André R.",1,geoinfo,backes andre r,False
"Bruno, Adriana B.",1,geoinfo,bruno adriana b,False
"Barros Filho, Mauro N.",1,geoinfo,barros filho mauro n,False
"Bruno, Odemir M",1,geoinfo,bruno odemir m,False
"Mota, Joice Seleme",1,geoinfo,mota joice seleme,False
"Intrator, Chantal",1,geoinfo,intrator chantal,False
"Freitas, João Carlos",1,geoinfo,freitas joao carlos,False
"Braz, Fernando J",1,geoinfo,braz fernando j,False
"Campos, Samuel R. de Sales",1,geoinfo,campos samuel r de sales,False
"Oliveira, Thomas C. de A.",1,geoinfo,oliveira thomas c de a,False
"Prieto, Luca Araújo Egas",1,geoinfo,prieto luca araujo egas,False
"Silva, Ronaldo Aparecido da",1,geoinfo,silva ronaldo aparecido da,False
"França, Aleksander Maduro",1,geoinfo,franca aleksander maduro,False
"Farah Netto, Ivayr Dieb",1,geoinfo,farah netto ivayr dieb,False
"Carvalho, Luis M. T.",1,geoinfo,carvalho luis m t,False
"Ribeiro, Moisķs S.",1,geoinfo,ribeiro moisks s,False
"Oliveira, Thomaz C. A.",1,geoinfo,oliveira thomaz c a,False
"Louzada, Julio N.",1,geoinfo,louzada julio n,False
"Scolforo, José R. S.",1,geoinfo,scolforo jose r s,False
"Oliveira, Antonio D",1,geoinfo,oliveira antonio d,False
"Cipriani, Nazario",1,geoinfo,cipriani nazario,False
"Cordeiro, Natal Henrique",1,geoinfo,cordeiro natal henrique,False
"Carvalho, Bruno Motta de",1,geoinfo,carvalho bruno motta de,False
"Gonçalves, Luiz Marcos Garcia",1,geoinfo,goncalves luiz marcos garcia,False
"Costa, David Cavassana",1,geoinfo,costa david cavassana,False
"Teixeira, Mario Meireles",1,geoinfo,teixeira mario meireles,False
"Cotrim, Daniel S.",1,geoinfo,cotrim daniel s,False
"Dantas, Vitor",1,geoinfo,dantas vitor,False
"Salles, Emerson de",1,geoinfo,salles emerson de,False
"Dias, Eliane Z. Victorelli",1,geoinfo,dias eliane z victorelli,False
"Magalhńes, Geovane Cayres",1,geoinfo,magalhnes geovane cayres,False
"Silva, Grace Kelly de C",1,geoinfo,silva grace kelly de c,False
"Dutra, Gleyce Campos",1,geoinfo,dutra gleyce campos,False
"Carvalho, Luis Marcelo Tavares de",1,geoinfo,carvalho luis marcelo tavares de,False
"Oliveira Filho, Ary Teixeira de",1,geoinfo,oliveira filho ary teixeira de,False
"Gomes Júnior, Luiz Celso",1,geoinfo,gomes junior luiz celso,False
"Grigoletti, Pablo Souza",1,geoinfo,grigoletti pablo souza,False
"Erthal, Guaraci",1,geoinfo,erthal guaraci,False
"Silva, Felipe Castro da",1,geoinfo,silva felipe castro da,False
"Macário, Carla Geovana do N.",1,geoinfo,macario carla geovana do n,False
"Senra, Rodrigo Dias Arruda",1,geoinfo,senra rodrigo dias arruda,False
"Magalhńes, Mirella A.",1,geoinfo,magalhnes mirella a,False
"Metello, Marcelo",1,geoinfo,metello marcelo,False
"Vera, Mário de Sá",1,geoinfo,vera mario de sa,False
"Oliveira, Thomaz C. de A.",1,geoinfo,oliveira thomaz c de a,False
"Carvalho, Luis M. T. de",1,geoinfo,carvalho luis m t de,False
"Lacerda, Wilian Soares",1,geoinfo,lacerda wilian soares,False
"Campos, Samuel R. de S.",1,geoinfo,campos samuel r de s,False
"Reis, I. C.",1,geoinfo,reis i c,False
"Honório, N. A.",1,geoinfo,honorio n a,False
"Codeço, C. T.",1,geoinfo,codeco c t,False
"Barcellos, C.",1,geoinfo,barcellos c,False
"Magalhães, M. A. F. M",1,geoinfo,magalhaes m a f m,False
"Reis, Frederico Pereira",1,geoinfo,reis frederico pereira,False
"Carvalho, Luis Marcelo T. de",1,geoinfo,carvalho luis marcelo t de,False
"Vivar, Juan C.",1,geoinfo,vivar juan c,False
"Ferreira, Marco A. R",1,geoinfo,ferreira marco a r,False
"Azevedo, Victor H. M.",1,geoinfo,azevedo victor h m,False
"Meirelles, Margareth S. P.",1,geoinfo,meirelles margareth s p,False
"Ferraz, Rodrigo P. D.",1,geoinfo,ferraz rodrigo p d,False
"Ramalho Filho, Antônio",1,geoinfo,ramalho filho antonio,False
"Milidiú, Ruy L",1,geoinfo,milidiu ruy l,False
"Duczmal, Luiz",1,geoinfo,duczmal luiz,False
"Cançado, André L. F.",1,geoinfo,cancado andre l f,False
"Takahashi, Ricardo H. C",1,geoinfo,takahashi ricardo h c,False
"Fornari, Miguel",1,geoinfo,fornari miguel,False
"Comba, João Luiz Dihl",1,geoinfo,comba joao luiz dihl,False
"Francisco, Eduardo de Rezende",1,geoinfo,francisco eduardo de rezende,False
"Aranha, Francisco",1,geoinfo,aranha francisco,False
"Zambaldi, Felipe",1,geoinfo,zambaldi felipe,False
"Goldszmidt, Rafael",1,geoinfo,goldszmidt rafael,False
"Frozza, Angelo Augusto",1,geoinfo,frozza angelo augusto,False
"Guidini, Maurício P.",1,geoinfo,guidini mauricio p,False
"Ribeiro, Carlos H. C",1,geoinfo,ribeiro carlos h c,False
"Leite Júnior, Fábio Luiz",1,geoinfo,leite junior fabio luiz,False
"Silva, Patrício de Alencar",1,geoinfo,silva patricio de alencar,False
"Silva, Elvis Rodrigues da",1,geoinfo,silva elvis rodrigues da,False
"Medina, Nelkis de La Orden",1,geoinfo,medina nelkis de la orden,False
"Lapa, Rodrigo",1,geoinfo,lapa rodrigo,False
"Nero, Marcelo Antonio",1,geoinfo,nero marcelo antonio,False
"Santos, Ricardo dos",1,geoinfo,santos ricardo dos,False
"Valerio Netto, Antonio",1,geoinfo,valerio netto antonio,False
"Mello, Flávio L.",1,geoinfo,mello flavio l,False
"Silva, Luiz Felipe C. Ferreira da",1,geoinfo,silva luiz felipe c ferreira da,False
"Ramirez, Milton R.",1,geoinfo,ramirez milton r,False
"Magalhães, Mirella Antunes de",1,geoinfo,magalhaes mirella antunes de,False
"Schwarz, Thomas",1,geoinfo,schwarz thomas,False
"Viegas, Renata",1,geoinfo,viegas renata,False
"Soares, Valéria",1,geoinfo,soares valeria,False
"Almeida, Damião R.",1,geoinfo,almeida damiao r,False
Cláudio S. Baptista,1,geoinfo,claudio s baptista,False
"Silva, Elvis R. da",1,geoinfo,silva elvis r da,False
"Nunes, Camilo P.",1,geoinfo,nunes camilo p,False
"Costa, Bruno A. D. da",1,geoinfo,costa bruno a d da,False
"Andrade, Wilkerson de L.",1,geoinfo,andrade wilkerson de l,False
"Cabral, Jairson M",1,geoinfo,cabral jairson m,False
"Bagli, Vantier Veronezi",1,geoinfo,bagli vantier veronezi,False
"Cordeiro, João Pedro",1,geoinfo,cordeiro joao pedro,False
"Moura, Ubirajara F.",1,geoinfo,moura ubirajara f,False
"Barbosa, Cláudio C.",1,geoinfo,barbosa claudio c,False
"Almeida, Felipe",1,geoinfo,almeida felipe,False
"Schrerrer, Luciano R.",1,geoinfo,schrerrer luciano r,False
"Couto, Leonardo M.",1,geoinfo,couto leonardo m,False
"Schwabe, Daniel",1,geoinfo,schwabe daniel,False
"Oliveira, Olga Regina Fradico de",1,geoinfo,oliveira olga regina fradico de,False
"Gibotti, Fernando Renier",1,geoinfo,gibotti fernando renier,False
"Nogueira, Renato Almeida",1,geoinfo,nogueira renato almeida,False
"Hess, Guillermo N.",1,geoinfo,hess guillermo n,False
"Binotto, Alécio P. D.",1,geoinfo,binotto alecio p d,False
"Almeida, Márcia A. S. de",1,geoinfo,almeida marcia a s de,False
"Rocha, Luciana V. da",1,geoinfo,rocha luciana v da,False
"Krainski, Elias Teixeira",1,geoinfo,krainski elias teixeira,False
"Andrade Neto, Pedro Ribeiro",1,geoinfo,andrade neto pedro ribeiro,False
"Bassanezi, Renato Beozzo",1,geoinfo,bassanezi renato beozzo,False
"Lima, Carlos M. de",1,geoinfo,lima carlos m de,False
"Gonçalves, Luiz M. G.",1,geoinfo,goncalves luiz m g,False
"Mota, Lia Toledo Moreira",1,geoinfo,mota lia toledo moreira,False
"Mota, Alexandre de Assis",1,geoinfo,mota alexandre de assis,False
"Shin-ting, Wu",1,geoinfo,shinting wu,False
"Cavalier, Ângelo Sousa",1,geoinfo,cavalier angelo sousa,False
"Safar, Maytham",1,geoinfo,safar maytham,False
"Al-saleh, Ahmad",1,geoinfo,alsaleh ahmad,False
"Santos, Joelma Carla",1,geoinfo,santos joelma carla,False
"Oliveira, João Ricardo de F.",1,geoinfo,oliveira joao ricardo de f,False
"Dutra, Luciano V",1,geoinfo,dutra luciano v,False
"Santos, Alexandre E. dos",1,geoinfo,santos alexandre e dos,False
"Rodrigues, Alexandre L.",1,geoinfo,rodrigues alexandre l,False
"Simőes, Taynãna C.",1,geoinfo,simoes taynana c,False
"Sousa, Lirisnei Gomes de",1,geoinfo,sousa lirisnei gomes de,False
"Leite, Jair C",1,geoinfo,leite jair c,False
"Lemos, Fernando",1,geoinfo,lemos fernando,False
"Yamamoto, Missae",1,geoinfo,yamamoto missae,False
"Lorena, Luiz Antonio Nogueira",1,geoinfo,lorena luiz antonio nogueira,False
"Zhou, Panfeng",1,geoinfo,zhou panfeng,False
"Gong, Jun",1,geoinfo,gong jun,False
"Aguiar, Marilton S. de",1,geoinfo,aguiar marilton s de,False
"Dimuro, Gracaliz P.",1,geoinfo,dimuro gracaliz p,False
"Costa, Antônio C. da R.",1,geoinfo,costa antonio c da r,False
"Silva, Rafael K. S.",1,geoinfo,silva rafael k s,False
"Costa, Fabia A. da",1,geoinfo,costa fabia a da,False
"Kreinovich, Vladik",1,geoinfo,kreinovich vladik,False
"Aragão, Paulo",1,geoinfo,aragao paulo,False
"Monteiro, Rodrigo Salvador",1,geoinfo,monteiro rodrigo salvador,False
"Lucena, Carlos J. P. de",1,geoinfo,lucena carlos j p de,False
"Hornsby, Kathleen",1,geoinfo,hornsby kathleen,False
"Chelghoum, Nadjim",1,geoinfo,chelghoum nadjim,False
"Zeitouni, Karine",1,geoinfo,zeitouni karine,False
"Coelho, Alexandre",1,geoinfo,coelho alexandre,False
"Nascimento, Marcio",1,geoinfo,nascimento marcio,False
"Castro, Maria Clicia Stelling de",1,geoinfo,castro maria clicia stelling de,False
"Essid, Mehdi",1,geoinfo,essid mehdi,False
"Boucelma, Omar",1,geoinfo,boucelma omar,False
"Koschitzki, Thomas",1,geoinfo,koschitzki thomas,False
"Wagner, Flavio Rech",1,geoinfo,wagner flavio rech,False
"Bastos, André Dias",1,geoinfo,bastos andre dias,False
"Almeida, Marcia Aparecida da Silva",1,geoinfo,almeida marcia aparecida da silva,False
"Kirchner, Kathrin",1,geoinfo,kirchner kathrin,False
"Ruhland, Johannes",1,geoinfo,ruhland johannes,False
"Mandolesi, Gustavo Henrique",1,geoinfo,mandolesi gustavo henrique,False
"Tambascia, Cláudia de Andrade",1,geoinfo,tambascia claudia de andrade,False
"Gatto, Sandro Danilo",1,geoinfo,gatto sandro danilo,False
"Braga, Alexandre Melo",1,geoinfo,braga alexandre melo,False
"Manica, Heloise",1,geoinfo,manica heloise,False
"Camargo, Murilo S. de",1,geoinfo,camargo murilo s de,False
"Mathiak, Brigitte",1,geoinfo,mathiak brigitte,False
"Kupfer, Andreas",1,geoinfo,kupfer andreas,False
"Neumann, Karl",1,geoinfo,neumann karl,False
"Mello, Flávio",1,geoinfo,mello flavio,False
"Strauss, Edilberto",1,geoinfo,strauss edilberto,False
"Oliveira, Antônio",1,geoinfo,oliveira antonio,False
"Gesualdi, Aline",1,geoinfo,gesualdi aline,False
"Mendes, João B.",1,geoinfo,mendes joao b,False
"Ferreira, Cristiano D.",1,geoinfo,ferreira cristiano d,False
"Hönle, Nicola",1,geoinfo,honle nicola,False
"Moltenbrey, Michael",1,geoinfo,moltenbrey michael,False
"Nóbrega, Eduardo",1,geoinfo,nobrega eduardo,False
"Rolim, José Tiago",1,geoinfo,rolim jose tiago,False
"Times, Valéria",1,geoinfo,times valeria,False
"Camolesi Jr., Luiz",1,geoinfo,camolesi jr luiz,False
"Vieira, Marina Teresa Pires",1,geoinfo,vieira marina teresa pires,False
"Queiroz-neto, J. P.",1,geoinfo,queirozneto j p,False
"Campos, M. F. M.",1,geoinfo,campos m f m,False
"Nelson, B. W.",1,geoinfo,nelson b w,False
"Pio, J. L. S",1,geoinfo,pio j l s,False
"Rocha, Lourena",1,geoinfo,rocha lourena,False
"Pinheiro, Sérgio",1,geoinfo,pinheiro sergio,False
"Vieira, Marcelo B.",1,geoinfo,vieira marcelo b,False
"Rodrigues, Luiz Carlos de Abreu",1,geoinfo,rodrigues luiz carlos de abreu,False
"Silva, Hideson Alves da",1,geoinfo,silva hideson alves da,False
"Rottenbacher, Christine",1,geoinfo,rottenbacher christine,False
"Schuenck, Michael",1,geoinfo,schuenck michael,False
"Silva, Marcos Aurélio Santos da",1,geoinfo,silva marcos aurelio santos da,False
"Medeiros, José Simeão",1,geoinfo,medeiros jose simeao,False
"Silva, Grace Kelly de Castro",1,geoinfo,silva grace kelly de castro,False
"Pereira, Patrícia Maria",1,geoinfo,pereira patricia maria,False
"Barros, Roberto",1,geoinfo,barros roberto,False
"Salgado, Ana C.",1,geoinfo,salgado ana c,False
"Souza, Ligiane A. de",1,geoinfo,souza ligiane a de,False
"Delboni, Tiago M.",1,geoinfo,delboni tiago m,False
"Teixeira, Marcel",1,geoinfo,teixeira marcel,False
"Aguiar, Ana Paula Dutra de",1,geoinfo,aguiar ana paula dutra de,False
"Tavares, Andréa Iabrudi",1,geoinfo,tavares andrea iabrudi,False
"Kulldorff, Martin",1,geoinfo,kulldorff martin,False
"Medeiros, Claudia B.",1,geoinfo,medeiros claudia b,False
"Silva, Altigran S. da",1,geoinfo,silva altigran s da,False
"Assuncão, Renato Martins",1,geoinfo,assuncao renato martins,False
"Borges, Karla Albuquerque de Vasconcelos",1,geoinfo,borges karla albuquerque de vasconcelos,False
"Dias, Fábio Meira de Oliveira",1,geoinfo,dias fabio meira de oliveira,False
"Paiva, João Argemiro Carvalho",1,geoinfo,paiva joao argemiro carvalho,False
"Souza, Fernando da F. de",1,geoinfo,souza fernando da f de,False
"Barros, Roberto Souto M. de",1,geoinfo,barros roberto souto m de,False
"Fornari, Miguel Rodrigues",1,geoinfo,fornari miguel rodrigues,False
"Heredia, Leonardo Rodriguez",1,geoinfo,heredia leonardo rodriguez,False
"Comba, João",1,geoinfo,comba joao,False
"Pötke, Marco",1,geoinfo,potke marco,False
"Strauß, Petra-maria",1,geoinfo,strauß petramaria,False
"Lima, João Guilherme de Souza",1,geoinfo,lima joao guilherme de souza,False
"Oliveira, Juliano Lopes de",1,geoinfo,oliveira juliano lopes de,False
"Silva, André Constantino da",1,geoinfo,silva andre constantino da,False
"Hall, Bryon Richard",1,geoinfo,hall bryon richard,False
"Santos, André Ávila da C.",1,geoinfo,santos andre avila da c,False
"Branco, Vinícius Marques Alves",1,geoinfo,branco vinicius marques alves,False
"Oliveira, Maria Cristina Ferreira de",1,geoinfo,oliveira maria cristina ferreira de,False
"Flores, Edilson Ferreira",1,geoinfo,flores edilson ferreira,False
"Silva, Edson Ricardo de Andrade",1,geoinfo,silva edson ricardo de andrade,False
"Vidal, Creto Augusto",1,geoinfo,vidal creto augusto,False
"Neto, Joaquim Bento Cavalcante",1,geoinfo,neto joaquim bento cavalcante,False
"Venancio, Lauro Ramos",1,geoinfo,venancio lauro ramos,False
"Weiss, Gerson Mizuta",1,geoinfo,weiss gerson mizuta,False
"Dias, Eliane Zambon Victorelli",1,geoinfo,dias eliane zambon victorelli,False
"Monteiro, Antônio V.",1,geoinfo,monteiro antonio v,False
"Quintanilha, José A",1,geoinfo,quintanilha jose a,False
"Andrade, Marcus Vinícius A.",1,geoinfo,andrade marcus vinicius a,False
