id_geoinfo,ordem,autor_original,autor_padronizado,instituicao_original,instituicao_padronizada
83LX3pFwXQZ3V9uMbiY/MipjN,3,"Hall, Bryon Richard",Bryon Richard Hall,Universidade Federal de Goiás (UFG),Universidade Federal de Goiás (UFG)
83LX3pFwXQZ3V9uMbiY/Min4F,1,"Ruschel, Cláudio",Cláudio Ruschel,Universidade Federal do Rio Grande do Sul (UFRGS),Universidade Federal do Rio Grande do Sul (UFRGS)
83LX3pFwXQZ3V9uMbiY/Min4F,2,"Iochpe, Cirano",Cirano Iochpe,Universidade Federal do Rio Grande do Sul (UFRGS),Universidade Federal do Rio Grande do Sul (UFRGS)
83LX3pFwXQZ3V9uMbiY/Min4F,3,"Lisboa Filho, Jugurta",Jugurta Lisboa Filho,Universidade Federal de Viçosa (UFV),Universidade Federal de Viçosa (UFV)
83LX3pFwXQZ3V9uMbiY/Mipqu,1,"Santos, André Ávila da C.",André Ávila da C. Santos,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG)
83LX3pFwXQZ3V9uMbiY/Mipqu,2,"Assunçăo, Renato M.",Renato M. Assunçăo,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG)
83LX3pFwXQZ3V9uMbiY/MimFG,1,"Shimabukuro, Milton Hirokazu",Milton Hirokazu Shimabukuro,Universidade de Săo Paulo (USP),Universidade de Săo Paulo (USP)
83LX3pFwXQZ3V9uMbiY/MimFG,2,"Branco, Vinícius Marques Alves",Vinícius Marques Alves Branco,Universidade de Săo Paulo (USP),Universidade de Săo Paulo (USP)
83LX3pFwXQZ3V9uMbiY/MimFG,3,"Oliveira, Maria Cristina Ferreira De",Maria Cristina Ferreira De Oliveira,Universidade de Săo Paulo (USP),Universidade de Săo Paulo (USP)
83LX3pFwXQZ3V9uMbiY/MimFG,4,"Flores, Edilson Ferreira",Edilson Ferreira Flores,Universidade Estadual Paulista (UNESP),Universidade Estadual Paulista (UNESP)
83LX3pFwXQZ3V9uMbiY/Min2r,1,"Silva, Edson Ricardo de Andrade",Edson Ricardo de Andrade Silva,Universidade Federal do Cearß (UFC),Universidade Federal do Cearß (UFC)
83LX3pFwXQZ3V9uMbiY/Min2r,2,"Vidal, Creto Augusto",Creto Augusto Vidal,Universidade Federal do Cearß (UFC),Universidade Federal do Cearß (UFC)
83LX3pFwXQZ3V9uMbiY/Min2r,3,"Neto, Joaquim Bento Cavalcante",Joaquim Bento Cavalcante Neto,Universidade Federal do Cearß (UFC),Universidade Federal do Cearß (UFC)
83LX3pFwXQZ3V9uMbiY/MhUig,1,"Souza, Ricardo Cartaxo Modesto De",Ricardo Cartaxo Modesto De Souza,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/MhUig,2,"Câmara, Gilberto",Gilberto Câmara,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/MhUig,3,"Vinhas, Lúbia",Lúbia Vinhas,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
