instituicoes,ocorrencias,origem,nome_normalizado,possivel_duplicata
Pontifícia Universidade Cat¾lica do Rio de Janeiro (PUC-Rio),2,geoinfo,pontificia universidade cat34lica do rio de janeiro pucrio,False
CPqD Telecom & IT Solutions,2,geoinfo,cpqd telecom it solutions,False
Instituto Federal do Ceará (IFCE),2,geoinfo,instituto federal do ceara ifce,False
WeForest,2,geoinfo,weforest,False
Escola Nacional de Cięncias Estatísticas (ENCE),2,geoinfo,escola nacional de ciencias estatisticas ence,False
The Pennsylvania State University,2,geoinfo,the pennsylvania state university,False
Universidade Federal de Santa Catarina(UFSC),2,geoinfo,universidade federal de santa catarinaufsc,False
Universidade Federal do Estado do Rio de Janeiro (UNIRIO),2,geoinfo,universidade federal do estado do rio de janeiro unirio,False
Centro Gestor e Operacional do Sistema de Proteção da Amazônia (CENSIPAM),2,geoinfo,centro gestor e operacional do sistema de protecao da amazonia censipam,False
Barcelona Supercomputing Center (BSC),2,geoinfo,barcelona supercomputing center bsc,False
Rensselaer Polytechnic Institute,2,geoinfo,rensselaer polytechnic institute,False
"Fundação de Cięncia, Aplicaçőes e Tecnologia Espaciais (FUNCATE)",2,geoinfo,fundacao de ciencia aplicacoes e tecnologia espaciais funcate,False
Universidade Federal da Paraíba (UFPB),2,geoinfo,universidade federal da paraiba ufpb,False
Faculdade Governador Ozanam Coelho (FAGOC),2,geoinfo,faculdade governador ozanam coelho fagoc,False
Instituto Federal de São Paulo (IFSP),2,geoinfo,instituto federal de sao paulo ifsp,False
Universidade do Estado do MaranhŃo (UEMA),2,geoinfo,universidade do estado do maranhno uema,False
Universidade do Vale dos Sinos (UNISINOS),2,geoinfo,universidade do vale dos sinos unisinos,False
Universidade Federal de São Paulo (USP),2,geoinfo,universidade federal de sao paulo usp,False
Universidade Estadual de Londrina (UEL),2,geoinfo,universidade estadual de londrina uel,False
Universidade Federal de Sergipe (UFS),2,geoinfo,universidade federal de sergipe ufs,False
McMaster University Hamilton,2,geoinfo,mcmaster university hamilton,False
Universidade Federal do Amazonas (UFAM),2,geoinfo,universidade federal do amazonas ufam,False
Instituto de Matemßtica Pura e Aplicada (IMPA),2,geoinfo,instituto de matemßtica pura e aplicada impa,False
Instituto Brasileiro de Geografia e Estatística (IBGE),2,geoinfo,instituto brasileiro de geografia e estatistica ibge,False
Pennsylvania State University,2,geoinfo,pennsylvania state university,False
University of Munich,2,geoinfo,university of munich,False
National Center for Monitoring and Early Warning of Natural Disasters (CEMADEN),2,geoinfo,national center for monitoring and early warning of natural disasters cemaden,False
Federal University of Ouro Preto (UFOP),2,geoinfo,federal university of ouro preto ufop,False
Natural Disaster and Alert Monitoring Center – (CEMADEN),1,geoinfo,natural disaster and alert monitoring center cemaden,False
Institute of Mathematical and Computer Sciences – University of Sao Paulo,1,geoinfo,institute of mathematical and computer sciences university of sao paulo,False
