instituicoes,ocorrencias,origem,nome_normalizado,possivel_duplicata
Brazilian Agricultural Research Corporation,19,citantes,brazilian agricultural research corporation,False
Universidade Federal de Campina Grande,18,citantes,universidade federal de campina grande,False
Pontifícia Universidade Católica de Minas Gerais,16,citantes,pontificia universidade catolica de minas gerais,False
"University of California, Santa Barbara",15,citantes,university of california santa barbara,False
"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",15,citantes,istituto di scienza e tecnologie dellinformazione alessandro faedo,False
Universidade Estadual Paulista (UNESP),14,citantes,universidade estadual paulista unesp,False
University of Münster,13,citantes,university of munster,False
Chinese Academy of Sciences,13,citantes,chinese academy of sciences,False
Fundação Oswaldo Cruz,13,citantes,fundacao oswaldo cruz,False
"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",13,citantes,instituto federal de educacao ciencia e tecnologia de santa catarina,False
Universidade Federal do Estado do Rio de Janeiro,12,citantes,universidade federal do estado do rio de janeiro,False
Universidade Federal da Bahia,11,citantes,universidade federal da bahia,False
Universidade Federal do Rio Grande do Sul,11,citantes,universidade federal do rio grande do sul,False
Université Libre de Bruxelles,11,citantes,universite libre de bruxelles,False
Federal Institute of São Paulo,10,citantes,federal institute of sao paulo,False
Wuhan University,10,citantes,wuhan university,False
Universidade Federal do Rio Grande do Norte,10,citantes,universidade federal do rio grande do norte,False
Universidad Distrital Francisco José de Caldas,10,citantes,universidad distrital francisco jose de caldas,False
Pennsylvania State University,10,citantes,pennsylvania state university,False
Centro Nacional de Monitoramento e Alertas de Desastres Naturais,10,citantes,centro nacional de monitoramento e alertas de desastres naturais,False
Forschungszentrum Telekommunikation Wien,10,citantes,forschungszentrum telekommunikation wien,False
Instituto Federal de Educação Ciência e Tecnologia da Paraíba,10,citantes,instituto federal de educacao ciencia e tecnologia da paraiba,False
Universidade Federal de Itajubá,9,citantes,universidade federal de itajuba,False
Universidade de Brasília,9,citantes,universidade de brasilia,False
Universidade Federal do Ceará,9,citantes,universidade federal do ceara,False
Centre National de la Recherche Scientifique,9,citantes,centre national de la recherche scientifique,False
University of Stuttgart,8,citantes,university of stuttgart,False
Instituto Federal do Maranhão,8,citantes,instituto federal do maranhao,False
Federal University of São João del-Rei,8,citantes,federal university of sao joao delrei,False
Centro Universitário de Belo Horizonte,7,citantes,centro universitario de belo horizonte,False
Rensselaer Polytechnic Institute,7,citantes,rensselaer polytechnic institute,False
University of Thessaly,7,citantes,university of thessaly,False
The University of Texas at El Paso,7,citantes,the university of texas at el paso,False
"Instituto Federal de Educação, Ciência e Tecnologia do Pará",7,citantes,instituto federal de educacao ciencia e tecnologia do para,False
University of Tehran,7,citantes,university of tehran,False
Federal Center for Technological Education of Minas Gerais,7,citantes,federal center for technological education of minas gerais,False
Universitat Politècnica de València,7,citantes,universitat politecnica de valencia,False
Institute of Computing Technology,7,citantes,institute of computing technology,False
Universidade do Estado do Rio de Janeiro,7,citantes,universidade do estado do rio de janeiro,False
National University of Comahue,6,citantes,national university of comahue,False
University of Lisbon,6,citantes,university of lisbon,False
Norwegian University of Science and Technology,6,citantes,norwegian university of science and technology,False
University of Hassan II Casablanca,6,citantes,university of hassan ii casablanca,False
University of Verona,6,citantes,university of verona,False
University of Castilla-La Mancha,6,citantes,university of castillala mancha,False
Universidade Federal Fluminense,6,citantes,universidade federal fluminense,False
Universidade Federal do ABC,6,citantes,universidade federal do abc,False
"National University of Ireland, Maynooth",6,citantes,national university of ireland maynooth,False
Instituto Nacional de Pesquisas da Amazônia,6,citantes,instituto nacional de pesquisas da amazonia,False
Université Grenoble Alpes,6,citantes,universite grenoble alpes,False
Nanjing Normal University,6,citantes,nanjing normal university,False
Universidade Nova de Lisboa,6,citantes,universidade nova de lisboa,False
Faculdades Guarulhos,6,citantes,faculdades guarulhos,False
Henan Polytechnic University,5,citantes,henan polytechnic university,False
Universidade Federal de Mato Grosso,5,citantes,universidade federal de mato grosso,False
Universidade Federal de Pelotas,5,citantes,universidade federal de pelotas,False
Centro Nacional de Información Geográfica,5,citantes,centro nacional de informacion geografica,False
Universidade Federal do Maranhão,5,citantes,universidade federal do maranhao,False
Silesian University of Technology,5,citantes,silesian university of technology,False
Utrecht University,5,citantes,utrecht university,False
Universidad Filadelfia de México,5,citantes,universidad filadelfia de mexico,False
Institut de Recherche de l’École Navale,5,citantes,institut de recherche de lecole navale,False
Instituto Politécnico Nacional,5,citantes,instituto politecnico nacional,False
University of Almería,5,citantes,university of almeria,False
Military Institute of Engineering,5,citantes,military institute of engineering,False
Kwame Nkrumah University of Science and Technology,5,citantes,kwame nkrumah university of science and technology,False
Universidade Federal de Rondônia,5,citantes,universidade federal de rondonia,False
"University of Maryland, College Park",5,citantes,university of maryland college park,False
Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application,5,citantes,jiangsu center for collaborative innovation in geographical information resource development and application,False
University of Wisconsin–Milwaukee,5,citantes,university of wisconsinmilwaukee,False
University of Tennessee at Knoxville,5,citantes,university of tennessee at knoxville,False
University of Agder,5,citantes,university of agder,False
Universidad Nacional de Colombia,5,citantes,universidad nacional de colombia,False
Instituto Tecnológico de Buenos Aires (ITBA),5,citantes,instituto tecnologico de buenos aires itba,False
Universitat Jaume I,5,citantes,universitat jaume i,False
Universidade Estadual do Oeste do Paraná,4,citantes,universidade estadual do oeste do parana,False
China University of Geosciences,4,citantes,china university of geosciences,False
University of Warwick,4,citantes,university of warwick,False
The Ohio State University,4,citantes,the ohio state university,False
Universidade Federal de Alagoas,4,citantes,universidade federal de alagoas,False
Fundação de Apoio à Universidade Federal de São Paulo,4,citantes,fundacao de apoio a universidade federal de sao paulo,False
Cardiff University,4,citantes,cardiff university,False
Institute of Geographic Sciences and Natural Resources Research,4,citantes,institute of geographic sciences and natural resources research,False
Universidade Federal da Paraíba,4,citantes,universidade federal da paraiba,False
Colorado State University,4,citantes,colorado state university,False
Universidad Politécnica de Madrid,4,citantes,universidad politecnica de madrid,False
Jet Propulsion Laboratory,4,citantes,jet propulsion laboratory,False
"Bases, Corpus, Langage",4,citantes,bases corpus langage,False
University of Edinburgh,4,citantes,university of edinburgh,False
University of Canterbury,4,citantes,university of canterbury,False
University of Turin,4,citantes,university of turin,False
University of Ottawa,4,citantes,university of ottawa,False
University of Connecticut,4,citantes,university of connecticut,False
Instituto Federal do Paraná,4,citantes,instituto federal do parana,False
University of Maine,4,citantes,university of maine,False
University of Southern California,4,citantes,university of southern california,False
University of Calgary,4,citantes,university of calgary,False
Athena Research and Innovation Center In Information Communication & Knowledge Technologies,4,citantes,athena research and innovation center in information communication knowledge technologies,False
Brazilian Society of Computational and Applied Mathematics,4,citantes,brazilian society of computational and applied mathematics,False
Delft University of Technology,4,citantes,delft university of technology,False
Eindhoven University of Technology,4,citantes,eindhoven university of technology,False
Universidade Estadual do Maranhão,4,citantes,universidade estadual do maranhao,False
"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais",4,citantes,instituto federal de educacao ciencia e tecnologia de minas gerais,False
Kola Science Centre,4,citantes,kola science centre,False
TU Wien,4,citantes,tu wien,False
Peking University,4,citantes,peking university,False
Ghent University,4,citantes,ghent university,False
Murmansk Arctic State University,4,citantes,murmansk arctic state university,False
Universidade Federal Rural do Rio de Janeiro,4,citantes,universidade federal rural do rio de janeiro,False
Universidade Estadual da Paraíba,4,citantes,universidade estadual da paraiba,False
The University of Texas at Dallas,4,citantes,the university of texas at dallas,False
Universidad de Buenos Aires,4,citantes,universidad de buenos aires,False
Transnational University Limburg,4,citantes,transnational university limburg,False
Nanjing University,4,citantes,nanjing university,False
Hasselt University,4,citantes,hasselt university,False
"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",3,citantes,instituto federal de educacao ciencia e tecnologia do rio grande do sul,False
Leibniz University Hannover,3,citantes,leibniz university hannover,False
King Abdulaziz University,3,citantes,king abdulaziz university,False
Universidade Federal Rural de Pernambuco,3,citantes,universidade federal rural de pernambuco,False
Curtin University,3,citantes,curtin university,False
University of West Bohemia in Pilsen,3,citantes,university of west bohemia in pilsen,False
Hospital de Clínicas da Unicamp,3,citantes,hospital de clinicas da unicamp,False
University of Peloponnese,3,citantes,university of peloponnese,False
Polytechnic José Antonio Echeverría,3,citantes,polytechnic jose antonio echeverria,False
Centre Hospitalier Universitaire de Tours,3,citantes,centre hospitalier universitaire de tours,False
Universidad de Extremadura,3,citantes,universidad de extremadura,False
Graz University of Technology,3,citantes,graz university of technology,False
Goddard Space Flight Center,3,citantes,goddard space flight center,False
Brazilian Institute of Geography and Statistics,3,citantes,brazilian institute of geography and statistics,False
Institut Scientifique de Service Public,3,citantes,institut scientifique de service public,False
Massey University,3,citantes,massey university,False
Universidade Federal de Santa Maria,3,citantes,universidade federal de santa maria,False
San Francisco State University,3,citantes,san francisco state university,False
Leipzig University,3,citantes,leipzig university,False
University of Alicante,3,citantes,university of alicante,False
Centre National d'Études Spatiales,3,citantes,centre national detudes spatiales,False
Institute of Computer Science,3,citantes,institute of computer science,False
Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,3,citantes,instituto de engenharia de sistemas e computadores investigacao e desenvolvimento,False
University of Seoul,3,citantes,university of seoul,False
University of Illinois Urbana-Champaign,3,citantes,university of illinois urbanachampaign,False
University of Chinese Academy of Sciences,3,citantes,university of chinese academy of sciences,False
Georgia State University,3,citantes,georgia state university,False
Technical University of Munich,3,citantes,technical university of munich,False
Cadi Ayyad University,3,citantes,cadi ayyad university,False
Universidade Federal do Amazonas,3,citantes,universidade federal do amazonas,False
Instituto Superior de Teologia Aplicada,3,citantes,instituto superior de teologia aplicada,False
Imperial College London,3,citantes,imperial college london,False
State Key Laboratory of Resources and Environmental Information System,3,citantes,state key laboratory of resources and environmental information system,False
Aalto University,3,citantes,aalto university,False
University of Salford,3,citantes,university of salford,False
University of Information Science,3,citantes,university of information science,False
Instituto de Saúde,3,citantes,instituto de saude,False
Universidade Federal de Sergipe,3,citantes,universidade federal de sergipe,False
Pontifícia Universidade Católica do Rio Grande do Sul,3,citantes,pontificia universidade catolica do rio grande do sul,False
University of Iowa,3,citantes,university of iowa,False
Ocean University of China,3,citantes,ocean university of china,False
Universidade do Estado da Bahia,3,citantes,universidade do estado da bahia,False
Petrobras (Brazil),3,citantes,petrobras brazil,False
Instituto Tecnológico de Aeronáutica,3,citantes,instituto tecnologico de aeronautica,False
Universidade Federal de Uberlândia,3,citantes,universidade federal de uberlandia,False
Universidade Federal Rural da Amazônia,3,citantes,universidade federal rural da amazonia,False
"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",3,citantes,instituto federal de educacao ciencia e tecnologia do ceara,False
University of Virginia,3,citantes,university of virginia,False
Universidade Federal de São Paulo,3,citantes,universidade federal de sao paulo,False
"University of Maryland, Baltimore County",3,citantes,university of maryland baltimore county,False
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,3,citantes,instituto federal de educacao ciencia e tecnologia do norte de minas gerais,False
"University of California, Los Angeles",3,citantes,university of california los angeles,False
CRC for Spatial information,3,citantes,crc for spatial information,False
Instituto de Tecnologia e Pesquisa,3,citantes,instituto de tecnologia e pesquisa,False
University of Wisconsin–Madison,3,citantes,university of wisconsinmadison,False
Universitat Politècnica de Catalunya,3,citantes,universitat politecnica de catalunya,False
Université Clermont Auvergne,3,citantes,universite clermont auvergne,False
Universidade Federal de Lavras,3,citantes,universidade federal de lavras,False
Institute of Applied Economic Research,3,citantes,institute of applied economic research,False
Dalhousie University,3,citantes,dalhousie university,False
State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,3,citantes,state key laboratory of information engineering in surveying mapping and remote sensing,False
Universidade do Porto,3,citantes,universidade do porto,False
Universidad Nacional Autónoma de México,3,citantes,universidad nacional autonoma de mexico,False
University of Reading,3,citantes,university of reading,False
Beihang University,3,citantes,beihang university,False
Emory University,3,citantes,emory university,False
Governo do Estado de São Paulo,3,citantes,governo do estado de sao paulo,False
University of Stirling,3,citantes,university of stirling,False
Departamento de Ciência e Tecnologia,3,citantes,departamento de ciencia e tecnologia,False
Universidad Autónoma de Ciudad Juárez,3,citantes,universidad autonoma de ciudad juarez,False
Huazhong University of Science and Technology,3,citantes,huazhong university of science and technology,False
University of Notre Dame,3,citantes,university of notre dame,False
Amazon (United States),3,citantes,amazon united states,False
Humboldt-Universität zu Berlin,3,citantes,humboldtuniversitat zu berlin,False
University College Dublin,3,citantes,university college dublin,False
Universidade Federal do Oeste da Bahia,2,citantes,universidade federal do oeste da bahia,False
Nagoya University,2,citantes,nagoya university,False
Microsoft (United States),2,citantes,microsoft united states,False
Institut Supérieur de Gestion de Tunis,2,citantes,institut superieur de gestion de tunis,False
Swansea University,2,citantes,swansea university,False
Tunis University,2,citantes,tunis university,False
Lancaster University,2,citantes,lancaster university,False
Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR),2,citantes,deutsches zentrum fur luft und raumfahrt e v dlr,False
Ministry of Natural Resources,2,citantes,ministry of natural resources,False
Instituto Federal Goiano,2,citantes,instituto federal goiano,False
University of Nebraska–Lincoln,2,citantes,university of nebraskalincoln,False
Universidade Estadual de Londrina,2,citantes,universidade estadual de londrina,False
University of Georgia,2,citantes,university of georgia,False
Universidade Federal do Pampa,2,citantes,universidade federal do pampa,False
Centre d'Études Spatiales de la Biosphère,2,citantes,centre detudes spatiales de la biosphere,False
Technische Universität Dresden,2,citantes,technische universitat dresden,False
European Organisation for Research and Treatment of Cancer,2,citantes,european organisation for research and treatment of cancer,False
Hospital Ana Nery,2,citantes,hospital ana nery,False
Universidade Federal da Grande Dourados,2,citantes,universidade federal da grande dourados,False
Universidade Fundação Mineira de Educação e Cultura,2,citantes,universidade fundacao mineira de educacao e cultura,False
McMaster University,2,citantes,mcmaster university,False
Institut Supérieur de l'Électronique et du Numérique,2,citantes,institut superieur de lelectronique et du numerique,False
Laboratoire d'Informatique Fondamentale et Appliquée de Tours,2,citantes,laboratoire dinformatique fondamentale et appliquee de tours,False
Centro de Estudos e Pesquisa em Saúde Coletiva,2,citantes,centro de estudos e pesquisa em saude coletiva,False
National Research Council,2,citantes,national research council,False
Vale Technological Institute,2,citantes,vale technological institute,False
Duke University,2,citantes,duke university,False
Tecnológico Nacional de México,2,citantes,tecnologico nacional de mexico,False
University of Augsburg,2,citantes,university of augsburg,False
Feng Chia University,2,citantes,feng chia university,False
University of Waterloo,2,citantes,university of waterloo,False
Tsinghua University,2,citantes,tsinghua university,False
Amec Foster Wheeler (United States),2,citantes,amec foster wheeler united states,False
Central Maine Community College,2,citantes,central maine community college,False
Dalian University of Technology,2,citantes,dalian university of technology,False
Barcelona Supercomputing Center,2,citantes,barcelona supercomputing center,False
UCLouvain,2,citantes,uclouvain,False
Technologies et systèmes d'information pour les agrosystèmes,2,citantes,technologies et systemes dinformation pour les agrosystemes,False
Secretaria do Meio Ambiente,2,citantes,secretaria do meio ambiente,False
Technical University of Denmark,2,citantes,technical university of denmark,False
Guangxi Normal University,2,citantes,guangxi normal university,False
Istanbul Aydın University,2,citantes,istanbul aydın university,False
University of Arkansas at Fayetteville,2,citantes,university of arkansas at fayetteville,False
Research Studios Austria,2,citantes,research studios austria,False
Wrocław University of Environmental and Life Sciences,2,citantes,wrocław university of environmental and life sciences,False
University of the Philippines Diliman,2,citantes,university of the philippines diliman,False
Google (United States),2,citantes,google united states,False
Hassania School of Public Works,2,citantes,hassania school of public works,False
New College,2,citantes,new college,False
University of Oxford,2,citantes,university of oxford,False
Cary Institute of Ecosystem Studies,2,citantes,cary institute of ecosystem studies,False
"University of California, Berkeley",2,citantes,university of california berkeley,False
Instituto Politécnico de Lisboa,2,citantes,instituto politecnico de lisboa,False
Institut polytechnique de Grenoble,2,citantes,institut polytechnique de grenoble,False
Beijing University of Posts and Telecommunications,2,citantes,beijing university of posts and telecommunications,False
TH Köln - University of Applied Sciences,2,citantes,th koln university of applied sciences,False
University of Portsmouth,2,citantes,university of portsmouth,False
"Institut Supérieur d’Informatique, de Modélisation et de leurs Applications",2,citantes,institut superieur dinformatique de modelisation et de leurs applications,False
"Laboratoire d'Informatique, de Modélisation et d'Optimisation des Systèmes",2,citantes,laboratoire dinformatique de modelisation et doptimisation des systemes,False
"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas",2,citantes,instituto federal de educacao ciencia e tecnologia de alagoas,False
University of Surrey,2,citantes,university of surrey,False
Central South University,2,citantes,central south university,False
Michigan State University,2,citantes,michigan state university,False
Universidade Salvador,2,citantes,universidade salvador,False
University of Minnesota,2,citantes,university of minnesota,False
National Education and Research Network,2,citantes,national education and research network,False
VeDeCoM Institute,2,citantes,vedecom institute,False
Shenzhen University,2,citantes,shenzhen university,False
National Science Library,2,citantes,national science library,False
Universidad de Oriente,2,citantes,universidad de oriente,False
"Littoral, Environnement, Télédétection, Géomatique",2,citantes,littoral environnement teledetection geomatique,False
Higher Institute of Management,2,citantes,higher institute of management,False
Universidad de Medellín,2,citantes,universidad de medellin,False
Institute of Informatics of the Slovak Academy of Sciences,2,citantes,institute of informatics of the slovak academy of sciences,False
Hashemite University,2,citantes,hashemite university,False
Open University of Cyprus,2,citantes,open university of cyprus,False
Arizona State University,2,citantes,arizona state university,False
Universidade Federal do Piauí,2,citantes,universidade federal do piaui,False
University of Chester,2,citantes,university of chester,False
Université de Sherbrooke,2,citantes,universite de sherbrooke,False
Instituto Superior Técnico,2,citantes,instituto superior tecnico,False
Oak Ridge National Laboratory,2,citantes,oak ridge national laboratory,False
Massachusetts Institute of Technology,2,citantes,massachusetts institute of technology,False
Universidad de Antioquia,2,citantes,universidad de antioquia,False
University of Twente,2,citantes,university of twente,False
GITAM University,2,citantes,gitam university,False
"Jawaharlal Nehru Technological University, Hyderabad",2,citantes,jawaharlal nehru technological university hyderabad,False
Secretaria de Agricultura e Abastecimento,2,citantes,secretaria de agricultura e abastecimento,False
Lyon 1 Université,2,citantes,lyon 1 universite,False
Hokkaido University,2,citantes,hokkaido university,False
University of Utah,2,citantes,university of utah,False
Universidade Federal do Recôncavo da Bahia,2,citantes,universidade federal do reconcavo da bahia,False
Stony Brook University,2,citantes,stony brook university,False
Ca' Foscari University of Venice,2,citantes,ca foscari university of venice,False
University of Piraeus,2,citantes,university of piraeus,False
University of Genoa,2,citantes,university of genoa,False
Universidade do Estado do Rio Grande do Norte,2,citantes,universidade do estado do rio grande do norte,False
University of British Columbia,2,citantes,university of british columbia,False
École Polytechnique Fédérale de Lausanne,2,citantes,ecole polytechnique federale de lausanne,False
Communication University of Zhejiang,2,citantes,communication university of zhejiang,False
ETH Zurich,2,citantes,eth zurich,False
University of Zurich,2,citantes,university of zurich,False
Association of British Orchestras,2,citantes,association of british orchestras,False
Associação de Assistência à Criança Deficiente,2,citantes,associacao de assistencia a crianca deficiente,False
University of Évora,2,citantes,university of evora,False
Wright State University,2,citantes,wright state university,False
University of Otago,2,citantes,university of otago,False
National Technical University of Athens,2,citantes,national technical university of athens,False
Louisiana Tech University,2,citantes,louisiana tech university,False
Tribunal de Contas,2,citantes,tribunal de contas,False
Nagoya Institute of Technology,2,citantes,nagoya institute of technology,False
University of Tasmania,2,citantes,university of tasmania,False
State Key Laboratory of Remote Sensing Science,2,citantes,state key laboratory of remote sensing science,False
The University of Texas at Arlington,2,citantes,the university of texas at arlington,False
Institut National des Sciences Appliquées de Lyon,2,citantes,institut national des sciences appliquees de lyon,False
University of New Brunswick,2,citantes,university of new brunswick,False
Al-Ahliyya Amman University,2,citantes,alahliyya amman university,False
Fundação Getulio Vargas,2,citantes,fundacao getulio vargas,False
Laboratoire d'Informatique de Paris-Nord,2,citantes,laboratoire dinformatique de parisnord,False
University of Pisa,2,citantes,university of pisa,False
North China Electric Power University,2,citantes,north china electric power university,False
Lawrence Berkeley National Laboratory,2,citantes,lawrence berkeley national laboratory,False
China University of Mining and Technology,2,citantes,china university of mining and technology,False
Agricultural Sciences and Natural Resources University of Khuzestan,2,citantes,agricultural sciences and natural resources university of khuzestan,False
Universidad de la República de Uruguay,2,citantes,universidad de la republica de uruguay,False
Alzahra University,2,citantes,alzahra university,False
Fraunhofer Institute for Intelligent Analysis and Information Systems,2,citantes,fraunhofer institute for intelligent analysis and information systems,False
University of Coimbra,2,citantes,university of coimbra,False
The University of Melbourne,2,citantes,the university of melbourne,False
George Mason University,2,citantes,george mason university,False
Chinese Academy of Forestry,2,citantes,chinese academy of forestry,False
Universidad de Málaga,2,citantes,universidad de malaga,False
KU Leuven,2,citantes,ku leuven,False
Clemson University,2,citantes,clemson university,False
National Cheng Kung University,2,citantes,national cheng kung university,False
Shenyang Jianzhu University,2,citantes,shenyang jianzhu university,False
National University of Defense Technology,2,citantes,national university of defense technology,False
Hospital Regional de Presidente Prudente,2,citantes,hospital regional de presidente prudente,False
Hong Kong Polytechnic University,2,citantes,hong kong polytechnic university,False
Escola Nacional de Saúde Pública,2,citantes,escola nacional de saude publica,False
Universidade de Ribeirão Preto,2,citantes,universidade de ribeirao preto,False
Aarhus University,2,citantes,aarhus university,False
"University of California, Riverside",2,citantes,university of california riverside,False
Universidade Federal de Mato Grosso do Sul,2,citantes,universidade federal de mato grosso do sul,False
Instituto do Coração,2,citantes,instituto do coracao,False
Universidade Federal do Espírito Santo,2,citantes,universidade federal do espirito santo,False
HES-SO University of Applied Sciences and Arts Western Switzerland,2,citantes,hesso university of applied sciences and arts western switzerland,False
Universidade Federal do Rio Grande,2,citantes,universidade federal do rio grande,False
Laboratoire d'Informatique de Grenoble,2,citantes,laboratoire dinformatique de grenoble,False
University of Salento,2,citantes,university of salento,False
University of Oklahoma,2,citantes,university of oklahoma,False
Texas A&M University,2,citantes,texas am university,False
Universidade Nove de Julho,2,citantes,universidade nove de julho,False
Martin Luther University Halle-Wittenberg,2,citantes,martin luther university hallewittenberg,False
Ministry of Health,2,citantes,ministry of health,False
University of Warsaw,2,citantes,university of warsaw,False
Francisco Gavidia University,2,citantes,francisco gavidia university,False
Advanced Technologies Application Center,2,citantes,advanced technologies application center,False
Universidad de Murcia,2,citantes,universidad de murcia,False
Serviço Geológico do Brasil - CPRM,2,citantes,servico geologico do brasil cprm,False
Carl von Ossietzky Universität Oldenburg,2,citantes,carl von ossietzky universitat oldenburg,False
University of Minho,2,citantes,university of minho,False
Qazvin Islamic Azad University,2,citantes,qazvin islamic azad university,False
Universidade Politecnica,2,citantes,universidade politecnica,False
University of Sheffield,2,citantes,university of sheffield,False
Universidade Católica de Pelotas,2,citantes,universidade catolica de pelotas,False
Stada Arzneimittel (Germany),2,citantes,stada arzneimittel germany,False
La Trobe University,2,citantes,la trobe university,False
Faesa Centro Universitario,2,citantes,faesa centro universitario,False
Loyola University Maryland,2,citantes,loyola university maryland,False
Politecnico di Milano,2,citantes,politecnico di milano,False
Methodist University of Piracicaba,2,citantes,methodist university of piracicaba,False
Universidade Candido Mendes,2,citantes,universidade candido mendes,False
Exelixis (United States),2,citantes,exelixis united states,False
CapeSym (United States),2,citantes,capesym united states,False
Faculdade de Tecnologia e Ciências,2,citantes,faculdade de tecnologia e ciencias,False
Centre for Research and Development in Telecommunications (Brazil),2,citantes,centre for research and development in telecommunications brazil,False
Shandong University,2,citantes,shandong university,False
Centro de Referência em Informação Ambiental,2,citantes,centro de referencia em informacao ambiental,False
Amazon (Germany),2,citantes,amazon germany,False
Universidade Estadual de Montes Claros,2,citantes,universidade estadual de montes claros,False
Konkuk University,2,citantes,konkuk university,False
James Cook University,2,citantes,james cook university,False
"Instituto Federal de Educação, Ciência e Tecnologia de Rondônia",2,citantes,instituto federal de educacao ciencia e tecnologia de rondonia,False
Manouba University,2,citantes,manouba university,False
"Department of Physics, Mathematics and Informatics",2,citantes,department of physics mathematics and informatics,False
Consejería de Educación de la Junta de Castilla y León,2,citantes,consejeria de educacion de la junta de castilla y leon,False
"Centro Tecnológico de Investigación, Desarrollo e Innovación en tecnologías de la Información y las Comunicaciones (TIC)",2,citantes,centro tecnologico de investigacion desarrollo e innovacion en tecnologias de la informacion y las comunicaciones tic,False
Agricultural Research Service,2,citantes,agricultural research service,False
Instituto Federal Sul-rio-grandense,2,citantes,instituto federal sulriograndense,False
Istituto Superiore per la Protezione e la Ricerca Ambientale,2,citantes,istituto superiore per la protezione e la ricerca ambientale,False
Universidade Federal do Pará,2,citantes,universidade federal do para,False
Cyprus University of Technology,1,citantes,cyprus university of technology,False
Maritime Institute of Eastern Mediterranean,1,citantes,maritime institute of eastern mediterranean,False
Laboratoire des Sciences et Techniques de l’Information de la Communication et de la Connaissance,1,citantes,laboratoire des sciences et techniques de linformation de la communication et de la connaissance,False
North Atlantic Treaty Organization,1,citantes,north atlantic treaty organization,False
Harbin Electric Corporation (China),1,citantes,harbin electric corporation china,False
University of Łódź,1,citantes,university of łodz,False
University Ferhat Abbas of Setif,1,citantes,university ferhat abbas of setif,False
Universidade Federal de Alfenas,1,citantes,universidade federal de alfenas,False
Université de Rennes,1,citantes,universite de rennes,False
University of Isfahan,1,citantes,university of isfahan,False
Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias,1,citantes,instituto nacional de investigaciones forestales agricolas y pecuarias,False
James Hutton Institute,1,citantes,james hutton institute,False
University of Wuppertal,1,citantes,university of wuppertal,False
Deakin University,1,citantes,deakin university,False
Queensland University of Technology,1,citantes,queensland university of technology,False
University of South Carolina,1,citantes,university of south carolina,False
Sheffield Hallam University,1,citantes,sheffield hallam university,False
Universidad de Oviedo,1,citantes,universidad de oviedo,False
Zonguldak Bülent Ecevit University,1,citantes,zonguldak bulent ecevit university,False
Colorado School of Mines,1,citantes,colorado school of mines,False
Saudi Aramco (Saudi Arabia),1,citantes,saudi aramco saudi arabia,False
Perdana University,1,citantes,perdana university,False
Vladimir State University,1,citantes,vladimir state university,False
Murmansk State Technical University,1,citantes,murmansk state technical university,False
Chalmers University of Technology,1,citantes,chalmers university of technology,False
Singapore Management University,1,citantes,singapore management university,False
Intel (United States),1,citantes,intel united states,False
Beni-Suef University,1,citantes,benisuef university,False
Cairo University,1,citantes,cairo university,False
PES University,1,citantes,pes university,False
National Commission for the Knowledge and Use of Biodiversity,1,citantes,national commission for the knowledge and use of biodiversity,False
Jamia Millia Islamia,1,citantes,jamia millia islamia,False
Universidade do Estado de Santa Catarina,1,citantes,universidade do estado de santa catarina,False
Hunan Police Academy,1,citantes,hunan police academy,False
Ministry of Public Security of the People's Republic of China,1,citantes,ministry of public security of the peoples republic of china,False
Second Hospital of Liaohe Oilfield,1,citantes,second hospital of liaohe oilfield,False
Gumma Paz College,1,citantes,gumma paz college,False
Hokuriku University,1,citantes,hokuriku university,False
Nippon Dental University,1,citantes,nippon dental university,False
University of Tsukuba,1,citantes,university of tsukuba,False
Institute for Global Environmental Strategies,1,citantes,institute for global environmental strategies,False
Délégation Paris 5,1,citantes,delegation paris 5,False
Laboratoire Informatique Paris Descartes,1,citantes,laboratoire informatique paris descartes,False
Université Paris Cité,1,citantes,universite paris cite,False
Hitachi (United Kingdom),1,citantes,hitachi united kingdom,False
South China Normal University,1,citantes,south china normal university,False
AndroScience (United States),1,citantes,androscience united states,False
Empresa de Desenvolvimento Mineiro (Portugal),1,citantes,empresa de desenvolvimento mineiro portugal,False
Eos Neuroscience (United States),1,citantes,eos neuroscience united states,False
Institut National de Prévention et d’Education pour la Santé,1,citantes,institut national de prevention et deducation pour la sante,False
Planned Parenthood,1,citantes,planned parenthood,False
Universidad de la Empresa,1,citantes,universidad de la empresa,False
Kunsan National University,1,citantes,kunsan national university,False
Biologie Labor,1,citantes,biologie labor,False
Swinburne University of Technology,1,citantes,swinburne university of technology,False
Instituto Tecnológico de Tijuana,1,citantes,instituto tecnologico de tijuana,False
International Center for Tropical Agriculture,1,citantes,international center for tropical agriculture,False
